구분,용어,개념
94,비약적 상고,"특정 조건 하에 원심 판결에 대해 항소 없이 바로 상고를 제기할 수 있는 상황을 말하며, 이는 법령 적용의 오류나 형의 폐지·변경 등의 경우에 해당"
95,비약적 피상고인,비약적 상고를 제기한 자의 상대방
96,사건본인,"당해 재판에 의하여 신분관계 그 밖에 권리, 의무에 직간접적으로 영향을 받는 자"
97,사건본인(미성년자),사건본인이 19세에 이르지 않은 자
98,사건본인(반소원고),소송이 진행되는 과정에 피고가 원고에게 소송의 원고
99,사건본인(부재자),사건본인이 종래의 주소 또는 거소를 떠나서 단시일 내에 돌아올 가망이 없어서 그 재산이 관리되지 못하고 방치되어 있는 자
100,사건본인(유언자),사건본인이 유언을 한 사람
101,사건본인(자녀),사건본인이 아들과 딸 임
102,사옥인,"법적 사건이나 소송에 직접적인 이해관계를 가진 사람으로 민사, 형사, 행정 소송 등에서 원고나 피고로서 참여하며, 사건의 진행 과정에 직접적으로 관여"
103,상고,하급심에서 내려진 2심 판결에 불복하여 대법원에 재심을 요청하는 법적 절차
104,상고심당사자,상고심에서 소송의 주체가 되는 3심 당사자
105,상고인,형사 또는 민사 소송에서 상고를 제기하는 사람
106,상고인(비약),비약적 상고를 주장한 당사자
107,상고허가신청상대방,상고허가신청 절차에서 상고를 제기한 상고인에 대응하는 당사자
108,상고허가신청인,상고허가신청 절차에서 상고를 제기한 사람
109,상대방,신청 당사자의 일방에 대하여 다른 당사자
110,상속수계인,"소송 과정에서 원래의 당사자가 사망하거나 권리 의무를 상실한 경우, 그 권리와 의무를 승계하여 상소를 제기하는 사람"
111,선정당사자,"여러 사람이 공동소송인이 되어 소송을 하는 경우, 그 가운데서 법원에 의해 공식적으로 지명된 소송을 수행할 당사자"
112,선정인,법원에서 특정 사건에 대해 지정된 대리인 또는 중재인
113,소송고지인,소송의 진행 과정에서 법원에 의한 고지를 받는 당사자
114,소송대리인,당사자를 대신하여 소송을 진행하는 법적 대리인
115,소송수계신청인,특정 소송 절차에서 원고의 권리나 의무를 승계하여 소송에 참여하는 사람을 의미
116,소송수계인,다른 당사자의 권리나 의무를 승계하여 소송에 참여하는 사람
117,소송수행자,소송을 수행하는 당사자 또는 대리인
118,소송참가인,특정 소송에 참가하여 자신의 권리를 주장하는 당사자
119,소외,소송의 당사자가 아닌 인물 또는 단체를 지칭하는 용어
120,소유자,특정한 재산이나 권리를 실제로 소유하고 있는 사람
121,수계인,특정한 권리나 의무의 승계를 통해 그 권리를 주장하는 당사자
122,수심인,소송의 심리 및 판단을 받는 당사자.일반적으로 소송의 원고나 피고를 지칭
123,수용자1,"공공의 이익을 위해 개인의 재산이 수용되는 경우, 그 재산의 소유자"
124,수용자2,수용시설의 장 또는 운영자
125,수용자3,"수형자ㆍ미결수용자ㆍ사형확정자 등 법률과 적법한 절차에 따라 교도소ㆍ구치소 및 그 지소(이하 ""교정시설"")에 수용된 사람"
126,수용자4,청구권자금에 의하여 도입한 자본재를 소유하고 있는 자로서 그 수용자의 자격이 해제되기 이전의 자
127,승계인,법적 또는 재산상의 권리나 의무를 다른 사람으로부터 이어받은 사람
128,승계참가인,"법적 절차에서 주된 소송에 참여하는 사람 중에서 기존 소송에 권리나 의무를 승계하여 참여하는 자로 기존 당사자의 권리와 의무를 함께 승계받아 소송에서 주장하며, 주로 상속, 채권 양도 등으로 발생"
129,시피고,소송의 피고 중에서 법적 요건이나 특정한 사유에 따라 소송이 제기된 피고
130,신립인,"법적 용어로, 특정한 법적 행위를 수행하기 위해 신뢰를 바탕으로 의사결정이나 계약을 체결하는 사람"
131,신청인,법적 또는 행정적 절차에서 특정한 권리나 요청을 위해 신청서를 제출하는 사람을 의미
132,신청인(낙찰인),입찰 과정에서 낙찰을 받아 계약을 체결하는 사람 또는 법인
133,신청인(매수인),"물건이나 재산을 구매하는 사람을 의미하며, 일반적으로 매매 계약의 당사자로서, 판매자와 계약을 체결하고 대가를 지불하여 특정 자산을 취득하는 역할"
134,신청인(사건본인),"법적 절차에서 소송이나 신청의 주체로서, 특정 사건에 대한 법적 권리나 이익을 주장하는 사람"
135,신청인(이의피신청인),이의 신청과 관련하여 소송 또는 행정 절차에서 이의의 대상이 되는 사람
136,신청인(재심상대방),통상의 방법에 의한 상소의 방법이 없어진 확정판결에 대하여 중대한 오류가 있는 경우에 당사자의 신청에 의하여 그 판결을 한 법원에 다시 그 당부를 심사시키는 절차의 상대방
137,신청인(재심피고),통상의 방법에 의한 상소의 방법이 없어진 확정판결에 대하여 중대한 오류가 있는 경우에 당사자의 신청에 의하여 그 판결을 한 법원에 다시 그 당부를 심사시키는 절차의 피고
138,신청인(제3공탁자),돈이나 물건을 제공하고 그 보관을 위탁하는 공탁 절차에서 공탁금이나 공탁물을 제공하는 제3자
139,신청인(준재심피고),변론조서·변론준비기일조서(「민사소송법」 제220조) 또는 즉시항고로 불복할 수 있는 결정이나 명령이 확정된 경우 재심사유가 있을 때 재심소송에 준해 재심을 제기하는 소송의 피고
140,신청인(채권자),기금이 신용보증을 한 채무의 채권자
