판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
214251,살인·사체유기·아동복지법위반(아동유기·방임)[제1심에서 부정기형을 선고하였는데 피고인만이 항소하여 불이익변경금지 원칙이 적용되어 항소심이 부정기형보다 중하지 아니한 정기형을 선고해야 하는 사건],2020도4140,2020.10.22,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214251&type=HTML&mobileYn=
234505,병역법위반,2018노3735,2020.10.22,대전지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=234505&type=HTML&mobileYn=
226583,양도소득세부과처분취소,2019누10418,2020.10.21,수원고등법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226583&type=HTML&mobileYn=
226585,구상금,2020가합533650,2020.10.21,서울중앙지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226585&type=HTML&mobileYn=
231063,부인결정에대한이의의소,2016가합50665,2020.10.21,춘천지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=231063&type=HTML&mobileYn=
239487,손해배상(의),2019나48259,2020.10.21,서울중앙지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=239487&type=HTML&mobileYn=
212847,장부등열람허용가처분,2020마6195,2020.10.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212847&type=HTML&mobileYn=
238379,근로기준법위반·근로자퇴직급여보장법위반,2019노2771,2020.10.19,서울남부지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=238379&type=HTML&mobileYn=
240769,증여세부과처분취소,2020누33840,2020.10.16,서울고등법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=240769&type=HTML&mobileYn=
238735,증여세부과처분취소,2020누33833,2020.10.16,서울고등법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=238735&type=HTML&mobileYn=
216731,소득금액변동통지 무효확인 등 청구의 소,2020누40688,2020.10.16,서울고등법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=216731&type=HTML&mobileYn=
233395,국민체육진흥법위반(도박등)방조·외국환거래법위반,2019고단2655-1,2020.10.16,광주지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=233395&type=HTML&mobileYn=
214447,등록무효(실),2016후2829,2020.10.15,대법원,특허,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214447&type=HTML&mobileYn=
214301,부당이득금[보증인의 제3취득자에 대한 변제자대위에서 항상 부기등기가 필요한지 여부],2019다222041,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214301&type=HTML&mobileYn=
212677,손해배상(기),2017다278446,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212677&type=HTML&mobileYn=
226571,구상금,2016다267418,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226571&type=HTML&mobileYn=
212651,사기·법무사법위반,2020도7307,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212651&type=HTML&mobileYn=
214497,개인정보보호법위반(예비적 죄명: 같음),2019노4259,2020.10.15,서울중앙지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214497&type=HTML&mobileYn=
214383,요양급여환수처분취소등,2020두36052,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214383&type=HTML&mobileYn=
226573,근저당권말소,2017다254051,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226573&type=HTML&mobileYn=
213737,부당이득금징수처분취소,2020두32623,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213737&type=HTML&mobileYn=
214311,정보통신망이용촉진및정보보호등에관한법률위반·게임산업진흥에관한법률위반,2019도2862,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214311&type=HTML&mobileYn=
212673,공용부분인도청구등의소,2019다245822,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212673&type=HTML&mobileYn=
233397,배당이의,2019가합13298,2020.10.15,제주지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=233397&type=HTML&mobileYn=
212657,부당징계및부당노동행위구제재심판정취소[공동소송적 보조참가인의 상고이유 주장 제출기간],2019두40611,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212657&type=HTML&mobileYn=
212683,배당이의,2017다216523,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212683&type=HTML&mobileYn=
214459,건축허가신청불허가통지처분취소,2020두41504,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214459&type=HTML&mobileYn=
214895,조세범처벌법위반ㆍ특정범죄가중처벌등에관한법률위반(허위세금계산서교부등),2020도118,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214895&type=HTML&mobileYn=
233311,손해배상(기),2020나50624,2020.10.15,부산고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=233311&type=HTML&mobileYn=
214893,조세범처벌법위반,2018도17244,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214893&type=HTML&mobileYn=
214899,특수강도,2020도7218,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214899&type=HTML&mobileYn=
212681,부당이득반환청구등,2018다229625,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212681&type=HTML&mobileYn=
214363,공사대금지급청구의소,2018다209157,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214363&type=HTML&mobileYn=
213143,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강제추행)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준강제추행)·아동복지법위반,2020도6422,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213143&type=HTML&mobileYn=
212679,손해배상(기),2018다213811,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212679&type=HTML&mobileYn=
214287,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)·특정범죄가중처벌등에관한법률위반(조세)·업무상횡령(일부 변경 또는 인정된 죄명: 업무상배임)·업무상배임·배임수재·외국환거래법위반·부동산실권리자명의등기에관한법률위반·배임증재,2016도10654,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214287&type=HTML&mobileYn=
213739,재해위로금지급청구의소,2020두34308,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213739&type=HTML&mobileYn=
214903,사기ㆍ배임,2020도9688,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214903&type=HTML&mobileYn=
226581,사기ㆍ사기미수ㆍ공문서위조ㆍ위조공문서행사ㆍ사문서위조ㆍ위조사문서행사,2020노1604,2020.10.15,의정부지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226581&type=HTML&mobileYn=
226577,부당이득금,2019가합52860,2020.10.15,창원지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226577&type=HTML&mobileYn=
213735,재해위로금부지급처분취소,2019두61717,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213735&type=HTML&mobileYn=
214421,약정금ㆍ약정금,2018다235576,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214421&type=HTML&mobileYn=
214901,업무상횡령ㆍ사문서위조ㆍ위조사문서행사ㆍ범죄수익은닉의규제및처벌등에관한법률위반,2020도8443,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214901&type=HTML&mobileYn=
212687,총회결의무효확인등,2020다232846,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212687&type=HTML&mobileYn=
227865,교육환경평가심의결과(불승인)통보취소,2019두45739,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=227865&type=HTML&mobileYn=
213741,과징금부과처분취소,2020두39624,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213741&type=HTML&mobileYn=
226575,구상금,2018다222921,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226575&type=HTML&mobileYn=
213145,채무부존재확인·보험금,2020다234538,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213145&type=HTML&mobileYn=
214343,재해위로금,2019두60523,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214343&type=HTML&mobileYn=
214285,우선협상대상자지정취소로인한손해배상,2020다222382,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214285&type=HTML&mobileYn=
212661,취득세등부과처분취소,2017두47403,2020.10.15,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212661&type=HTML&mobileYn=
214279,소유권이전등기·소유권이전등기,2020다227523,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214279&type=HTML&mobileYn=
234007,구상금,2020나2004278,2020.10.15,서울고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=234007&type=HTML&mobileYn=
214457,부당이득금징수처분취소,2019두61243,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214457&type=HTML&mobileYn=
