판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
200297,소유권이전등기,93다46353,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200297&type=HTML&mobileYn=
119784,손해배상(자)등청구사건,93가합2387,1994.04.13,부산지방법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=119784&type=HTML&mobileYn=
145989,집행유예취소청구사건,93로2,1994.04.13,인천지방법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145989&type=HTML&mobileYn=
200316,손해배상(기),93다53252,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200316&type=HTML&mobileYn=
200310,소유권이전등기말소,93다52563,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200310&type=HTML&mobileYn=
110141,변호사법위반,93도1735,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110141&type=HTML&mobileYn=
200300,과징금부과처분취소,93누24247,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200300&type=HTML&mobileYn=
199813,식품접객영업불허가처분취소,93누16994,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199813&type=HTML&mobileYn=
200312,묘지분양권확인,93다52747,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200312&type=HTML&mobileYn=
200301,손해배상(산),93다44401,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200301&type=HTML&mobileYn=
200313,부담금부과처분무효확인등,93누14639,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200313&type=HTML&mobileYn=
110114,개발부담금부과처분취소,93누6904,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110114&type=HTML&mobileYn=
200307,개발부담금부과처분취소,92누10562,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200307&type=HTML&mobileYn=
200306,토지형질변경허가반려처분취소,93누21088,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200306&type=HTML&mobileYn=
200319,권리범위확인,93후923,1994.04.12,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200319&type=HTML&mobileYn=
110052,퇴직금,92다20309,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110052&type=HTML&mobileYn=
199768,건물철거등,93다56053,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199768&type=HTML&mobileYn=
110140,"노동쟁의조정법위반,노동조합법위반,업무방해",92도2178,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110140&type=HTML&mobileYn=
200304,소유권이전등기,93다62287,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200304&type=HTML&mobileYn=
110058,손해배상(자),93다30648,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110058&type=HTML&mobileYn=
200311,분묘철거등,92다54944,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200311&type=HTML&mobileYn=
227933,소유권이전등기,92다41054,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=227933&type=HTML&mobileYn=
110145,대통령선거법위반,93도2712,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110145&type=HTML&mobileYn=
200308,"건물철거등,소유권이전등기",93다50666,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200308&type=HTML&mobileYn=
110146,출판물에의한명예훼손,93도3535,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110146&type=HTML&mobileYn=
110053,해임처분등무효확인,92다47533,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110053&type=HTML&mobileYn=
110115,개발부담금부과처분취소,93누9941,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110115&type=HTML&mobileYn=
145918,이혼청구사건,93드22429,1994.04.12,서울가정법원,가사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145918&type=HTML&mobileYn=
200318,공작물소유권확인등,93다53801,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200318&type=HTML&mobileYn=
110051,소유권이전등기,90다카27785,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110051&type=HTML&mobileYn=
110143,자동차운수사업법위반,93도2535,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110143&type=HTML&mobileYn=
110074,해고무효확인등,94다3612,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110074&type=HTML&mobileYn=
110113,개발부담금부과처분취소,93누1879,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110113&type=HTML&mobileYn=
200298,"개별토지가격결정처분취소,토지초과이득세부과처분취소",93누19245,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200298&type=HTML&mobileYn=
110121,토지형질변경허가거부처분취소,93누20825,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110121&type=HTML&mobileYn=
200302,채무부존재확인등,93다44517,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200302&type=HTML&mobileYn=
110144,"절도,업무방해",93도2690,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110144&type=HTML&mobileYn=
110142,관세법위반,93도2324,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110142&type=HTML&mobileYn=
200305,물품대금·계약금반환,93다45480,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200305&type=HTML&mobileYn=
200299,소유권보존등기말소등,93다60779,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200299&type=HTML&mobileYn=
110117,교원징계구제재심결정취소,93누16277,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110117&type=HTML&mobileYn=
200317,숙박업영업정지처분취소,93누16666,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200317&type=HTML&mobileYn=
110148,"공문서위조,공문서위조행사,관세법위반",94도221,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110148&type=HTML&mobileYn=
199792,가건물철거등,93다37649,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199792&type=HTML&mobileYn=
